Date;GLOBAL;D1;D2;D3;D4;jour_feriÃ.;pont.congÃ.;holiday;jour_semaine;Semaine;Annee;Annee_et_Semaine;Temp;pluie;autre;Greve_nationale;SNCF;prof_nationale;Total_reservations
05/09/2022;240;0;172;55;13;0;0;0;lundi;36;2022;2022 Sem 36;20;3.1;1;0;0;0;203
06/09/2022;542;4;336;169;33;0;0;0;mardi;36;2022;2022 Sem 36;17;0.4;0;0;0;0;257
07/09/2022;657;1;399;217;40;0;0;0;mercredi;36;2022;2022 Sem 36;17;0.5;1;0;0;0;220
08/09/2022;607;2;377;180;48;0;0;0;jeudi;36;2022;2022 Sem 36;15;0.4;1;0;0;0;181
09/09/2022;461;5;300;120;36;0;0;0;vendredi;36;2022;2022 Sem 36;15;0.4;1;0;0;0;149
12/09/2022;612;5;373;185;49;0;0;0;lundi;37;2022;2022 Sem 37;16;0;0;0;0;0;208
13/09/2022;682;5;400;224;53;0;0;0;mardi;37;2022;2022 Sem 37;22;0.1;0;0;0;0;271
14/09/2022;649;3;388;214;44;0;0;0;mercredi;37;2022;2022 Sem 37;18;3.5;0;0;0;0;241
15/09/2022;653;2;382;219;50;0;0;0;jeudi;37;2022;2022 Sem 37;18;0.3;0;0;0;0;258
16/09/2022;422;3;274;119;26;0;0;0;vendredi;37;2022;2022 Sem 37;14;0;0;0;0;0;134
19/09/2022;569;4;329;184;52;0;0;0;lundi;38;2022;2022 Sem 38;11;0;0;0;0;0;175
20/09/2022;652;4;368;225;55;0;0;0;mardi;38;2022;2022 Sem 38;10;0;1;0;0;0;251
21/09/2022;630;4;365;223;38;0;0;0;mercredi;38;2022;2022 Sem 38;11;0;0;0;0;0;228
22/09/2022;618;4;349;214;51;0;0;0;jeudi;38;2022;2022 Sem 38;11;0;0;0;0;0;272
23/09/2022;410;4;246;117;43;0;0;0;vendredi;38;2022;2022 Sem 38;12;0;0;0;0;0;127
26/09/2022;565;4;334;178;49;0;0;0;lundi;39;2022;2022 Sem 39;13;1.7;0;0;0;0;174
27/09/2022;657;4;384;211;58;0;0;0;mardi;39;2022;2022 Sem 39;9;0.4;0;0;0;0;274
28/09/2022;665;4;387;229;45;0;0;0;mercredi;39;2022;2022 Sem 39;12;0.4;0;0;0;0;257
29/09/2022;602;4;355;195;48;0;0;0;jeudi;39;2022;2022 Sem 39;11;0.5;0;1;0;1;259
30/09/2022;455;4;281;135;35;0;0;0;vendredi;39;2022;2022 Sem 39;9;0;0;0;0;0;172
